,group
LAX,0
ORF,2
BNA,1
SJC,1
FAT,1
DSM,2
PDX,1
MAF,1
OAK,2
SAT,0
IAH,2
SNA,2
SGF,2
JAC,0
SMX,0
LAS,1
SMF,1
MSP,0
LGB,2
COS,2
BUR,2
STL,0
JAX,2
SLC,2
PSP,2
MKE,0
SFO,2
EUG,2
SAN,2
SEA,2
BOI,1
DEN,2
ONT,2
BWI,2
CVG,0
JFK,0
ACV,2
PHX,2
MDW,2
HNL,0
ATL,0
IAD,0
MRY,2
MEM,0
SBA,0
MIA,0
DFW,2
AUS,0
RNO,2
BDL,1
ORD,2
ASE,0
EWR,2
PHL,2
HOU,0
DTW,0
RDM,2
CLT,0
OGG,1
MCO,0
LGA,0
TUS,1
DAL,0
ABQ,2
DCA,2
GEG,2
BOS,0
RDD,2
YUM,0
IND,0
MSY,0
CIC,2
MCI,2
FLL,2
MFR,2
CMH,0
LIH,0
ELP,0
KOA,0
CLE,2
IPL,2
SJU,2
SBP,2
EGE,0
CEC,2
CLD,0
AMA,2
FAR,0
AZA,2
MMH,1
TPA,2
RSW,2
PIT,2
PSC,2
LBB,2
BZN,2
LMT,2
BUF,2
OTH,2
MOD,2
OKC,0
SAF,2
OMA,0
